name,language,watching,stars,forks,issues,commits,pull_requests
freeCodeCamp,none,37591.0,40000.0,37591.0,5313.0,1800.0,5000.0
free-programming-books,none,9499.0,9499.0,2989.0,9499.0,2975.0,2989.0
awesome,none,,,,,,
build-your-own-x,none,,,,,,
material-ui,none,26364.0,1407391.0,26364.0,3009.0,1500.0,2995.0
coding-interview-university,none,,,,,,
developer-roadmap,none,6243.0,6243.0,1245.0,6243.0,1231.0,1245.0
system-design-primer,none,65536.0,1099511627776.0,4294967296.0,3000.0,1500.0,2000.0
996.ICU,none,,,,,,
awesome-python,none,,,,,,
react,none,20001.0,26893831.0,20001.0,,,
project-based-learning,none,,,,,,
awesome-selfhosted,none,6709.0,100000.0,6709.0,6709.0,1237.0,1251.0
Python,none,3490.0,3490.0,1211.0,3490.0,1197.0,1211.0
javascript-algorithms,none,,,,,,
linux,none,1336263.0,1336263.0,15982.0,,,
You-Dont-Know-JS,none,,,,,,
CS-Notes,none,,,,,,
ohmyzsh,none,2400.0,7477.0,2439.0,7477.0,2425.0,2439.0
computer-science,none,,,,,,
youtube-dl,none,,,,,,
next.js,none,27399.0,4160026.0,27399.0,3553.0,2927.0,3539.0
ollama,none,,,,,,
fucking-algorithm,none,,,,,,
go,none,62325.0,62325.0,2175.0,,,
d3,none,,,,,,
hello-algo,none,,,,,,
yt-dlp,none,23012.0,128320.0,123456.0,,,
langchain,none,12710.0,185782.0,12710.0,,,
HelloGitHub,none,,,,,,
angular,none,32192.0,3826872.0,32192.0,,,
material-ui,none,26364.0,1407391.0,26364.0,3009.0,1500.0,2995.0
godot,none,71794.0,71794.0,2852.0,,,
ant-design,none,29201.0,696074.0,29201.0,,,
excalidraw,none,,,,,,
clean-code-javascript,none,,,,,,
neovim,none,31874.0,31874.0,1437.0,,,
every-programmer-should-know,none,,,,,,
storybook,none,66351.0,257731.0,66351.0,1950.0,1515.0,1936.0
rustdesk,none,,,,,,
app-ideas,none,,,,,,
bitcoin,none,,,,,,
svelte,none,,,,,,
animate.css,none,,,,,,
ui,none,,,,,,
realworld,none,,,,,,
NextChat,none,,,,,,
opencv,none,34975.0,34975.0,1654.0,,,
